DESEASE
canada
coagulopathy
confusion
cyanosis
death
dyslipidemia
hads
hashimoto
hemoptysis
htn
hypertension
hypertensive
hypothyroidism
insomnia
malignancy
necrosis
thrombocytopenia
tuberculosis
tumor
