DESEASE
allergy
alopecia
atherosclerosis
diarrhoea
falciparum
hemorrhage
hyposmia
malaria
pneumomediastinum
pneumoniae
pneumothorax
rhinitis
stroke
thrombi
tuberculosis
viremia
